year,month,day,hour,minute,second,DHT temp (C),DHT humidity (%),BMP temp (C),BMP pressure (hPa),DS3231 temp (C)
2016,1,4,5,36,38,23.00,16.00,23.30,1010.08,24
2016,1,4,5,36,40,23.00,16.00,23.30,1010.08,24
2016,1,4,5,36,43,23.00,16.00,23.30,1010.07,24
2016,1,4,5,36,50,23.00,16.00,23.30,1010.08,24
2016,1,4,5,36,52,23.00,16.00,23.30,1010.05,24
2016,1,4,5,36,54,23.00,16.00,23.30,1010.10,24
2016,1,4,5,36,57,23.00,16.00,23.30,1010.07,24
2016,1,4,5,36,59,23.00,16.00,23.30,1010.13,24
2016,1,4,5,37,1,23.00,16.00,23.30,1010.04,24
2016,1,4,5,37,4,23.00,16.00,23.30,1010.10,24
2016,1,4,5,37,6,23.00,16.00,23.30,1010.07,24
2016,1,4,5,37,9,23.00,16.00,23.30,1010.08,24
2016,1,4,5,37,11,23.00,16.00,23.30,1010.10,24
2016,1,4,5,37,13,23.00,16.00,23.30,1010.12,24
2016,1,4,5,37,16,23.00,16.00,23.30,1010.09,24
2016,1,4,5,37,18,23.00,16.00,23.30,1010.13,24
2016,1,4,5,37,20,23.00,16.00,23.30,1010.11,24
2016,1,4,5,37,23,23.00,16.00,23.30,1010.12,24
